date,distance,time,cadence
08-10-2021,1.42,0:20:05,133
08-12-2021,1.69,0:22:08,143
08-13-2021,0.43,0:05:00,142
08-14-2021,1.82,0:22:36,141
08-16-2021,0.74,0:09:00,140
08-18-2021,1.14,0:13:29,145
08-20-2021,2.52,0:35:00,158
08-21-2021,0.57,0:07:00,146
08-23-2021,1.37,0:15:00,149
08-25-2021,1.74,0:25:00,141
08-27-2021,0.85,0:10:00,148
08-29-2021,1.38,0:16:59,148
08-31-2021,3.09,0:42:00,148
09-02-2021,1.08,0:12:01,152
09-03-2021,1.07,0:11:56,150
09-05-2021,2.01,0:23:45,154
09-06-2021,2.01,0:23:21,154
09-09-2021,2.00,0:23:48,146
09-11-2021,2.02,0:23:20,154
09-12-2021,2.52,0:29:57,152
09-14-2021,2.50,0:28:06,152
09-16-2021,2.51,0:28:51,153
09-18-2021,2.51,0:28:47,154
09-19-2021,2.51,0:27:30,156
09-21-2021,2.55,0:27:42,155
09-23-2021,2.50,0:26:58,155
09-25-2021,3.11,0:33:56,157
09-26-2021,3.59,0:40:00,157
09-28-2021,3.11,0:37:20,155
09-30-2021,3.12,0:35:27,155
10-01-2021,0.17,0:1:39,152
10-02-2021,3.15,0:34:57,156
10-03-2021,3.50,0:39:37,158
10-05-2021,3.52,0:39:38,157
10-07-2021,3.53,0:40:07,158
10-08-2021,3.53,0:40:30,157
10-09-2021,1.01,0:10:18,158
10-10-2021,4.00,0:43:32,162
10-12-2021,4.02,0:46:19,156
10-14-2021,4.01,0:43:16,156
10-16-2021,1.49,0:17:41,155
10-16-2021,4.05,0:48:28,156
10-17-2021,4.51,0:49:32,160
10-19-2021,4.53,0:52:10,158
10-21-2021,4.53,0:50:53,159
10-23-2021,5.02,0:55:26,158
10-24-2021,5.02,0:54:59,161
10-26-2021,5.07,0:57:04,159
10-28-2021,5.06,0:54:15,162
10-30-2021,5.02,0:53:16,163
10-31-2021,0.46,0:05:10,151
10-31-2021,6.29,1:10:01,163
11-02-2021,6.21,1:10:42,159
11-04-2021,3.13,0:30:01,162
11-05-2021,6.24,1:06:41,163
11-06-2021,6.22,1:06:20,160
11-07-2021,0.22,0:02:46,142
11-07-2021,6.22,1:05:06,161
11-09-2021,6.21,1:09:41,158
11-11-2021,3.14,0:34:32,161
11-13-2021,9.31,1:47:50,159
11-14-2021,3.16,0:33:38,156
11-15-2021,4.06,0:45:08,159
11-16-2021,5.01,0:55:15,158
11-17-2021,3.10,0:34:17,157
11-18-2021,3.12,0:32:05,162
11-19-2021,3.13,0:33:05,162
11-20-2021,5.02,0:51:21,164
11-21-2021,5.00,0:49:21,165
11-23-2021,3.11,0:28:50,165
11-24-2021,5.02,0:55:27,163
11-25-2021,3.14,0:33:02,164
11-26-2021,6.23,1:07:57,164
11-27-2021,6.20,1:07:29,161
11-28-2021,6.21,1:08:00,163
11-29-2021,3.12,0:34:36,157
11-30-2021,5.00,0:59:44,162
12-02-2021,3.12,0:31:08,163
12-04-2021,5.31,0:51:09,162
12-05-2021,7.01,1:14:57,162
12-06-2021,3.14,0:32:34,162
12-08-2021,5.01,0:54:29,160
12-10-2021,5.00,0:49:33,163
12-11-2021,5.04,0:52:38,162
12-12-2021,7.02,1:10:10,165
12-13-2021,3.11,0:33:40,157
12-15-2021,5.00,0:51:24,161
12-17-2021,6.26,0:59:48,164
12-18-2021,4.00,0:41:05,164
12-19-2021,8.01,1:31:06,160
12-20-2021,3.14,0:34:17,163
12-22-2021,3.01,0:30:30,163
12-24-2021,3.00,0:28:57,166
12-25-2021,4.20,0:42:05,162
12-26-2021,10.00,1:50:19,163
12-27-2021,4.11,0:43:12,163
12-29-2021,3.10,0:27:45,168
12-31-2021,3.14,0:30:41,164
01-01-2022,3.17,0:28:56,169
01-02-2022,12.00,2:11:29,162
01-03-2022,3.11,0:29:36,165
01-04-2022,4.00,0:41:20,162
01-06-2022,4.01,0:40:34,161
01-08-2022,10.01,1:44:51,162
01-09-2022,3.01,0:31:46,158
01-10-2022,3.10,0:31:00,160
01-12-2022,4.01,0:39:21,163
01-14-2022,3.60,0:34:59,161
01-15-2022,0.31,0:03:19,152
01-15-2022,13.14,2:21:04,163
01-16-2022,3.14,0:30:10,164
01-17-2022,3.12,0:29:48,164
01-19-2022,4.04,0:38:08,166
01-21-2022,4.01,0:38:44,163
01-22-2022,5.01,0:47:49,165
01-23-2022,10.01,1:49:47,162
01-24-2022,3.31,0:30:50,164
01-25-2022,3.08,0:31:42,163
01-27-2022,4.21,0:41:49,164
01-29-2022,3.00,0:30:14,166
01-30-2022,12.17,2:16:56,160
01-31-2022,3.20,0:33:43,163
02-02-2022,4.01,0:35:19,166
02-04-2022,5.00,0:46:34,166
02-05-2022,3.11,0:28:19,168
02-06-2022,14.0,2:25:59,164
02-07-2022,3.11,0:29:39,161
02-08-2022,4.0,0:38:15,164
02-10-2022,4.01,0:39:11,163
02-12-2022,3.41,0:33:19,159
02-13-2022,15.0,2:36:33,163